"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"X1.When.off.the.leash.returns.immediately.when.called",1.68846357563225,-1.11503516242547,1.3006652810041,0.456944217671046,1.29815379889957,-2.44019974277951,0.194234490518953,0.0146791430048207,51.5737786539715
"X2.Obeys.the.sit.command.immediately",-0.201468698712991,-0.392572852380274,1.78873400150325,0.517589441607037,-0.112632005957105,-0.758463795477347,0.910322309414404,0.448173379045644,57.7893131431041
"X3.Obeys.the.stay.command.immediately",-1.97418147031278,0.108853893663253,1.50484644735665,0.4590941864544,-1.31188233442724,0.237105798494064,0.189559838884758,0.8125747140732,54.3718772264038
"X4.Seems.to.attendlisten.closely.to.everything.you.say.or.do",-1.14937878691553,-0.119382964528529,1.95048322192538,0.570198674858503,-0.589278991993043,-0.209370820719908,0.555674135095598,0.834158769652904,58.3082585950876
"X5.Slow.to.respond.to.correction.or.punishment.thickskinned",-1.20536690441769,-0.0765479445560321,1.07126779205108,0.347948527584948,-1.1251779558404,-0.219997897641179,0.260513632448881,0.825872792036804,55.871664077605
"X6.Slow.to.learn.new.tricks.or.tasks",-2.08810056244083,0.166783977483131,1.28131644817614,0.380468310143674,-1.62965250732018,0.438364965061478,0.103174960242334,0.661121739233979,58.1484724414643
"X7.Easily.distracted.by.interesting.sights.sounds.or.smells",0.00555066085244742,-0.780832225272724,0.854015507239435,0.422204703641907,0.00649948485173257,-1.84941621572977,0.994814197894558,0.0643977357189585,54.6976267766852
"X8.Will.fetch.or.attempt.to.fetch.sticks.balls.or.objects",-1.46546435043517,-0.0566827433976433,0.811044268389601,0.291779548346978,-1.80688577375064,-0.1942656492505,0.0707800911312144,0.845967881150298,54.0295694126275
"X9.When.verbally.corrected.or.punished.scolded.shouted.at.etc.by.you.or.a.household.member",-1.54756250871601,0.348247890383006,-4.44385321907904,8.8361899077299e-06,52.9422681125123,-1.54756250871601,0.348247890383006,-4.44385321907904,8.8361899077299e-06
"X10.When.approached.directly.by.an.unfamiliar.adult.while.being.walkedexercised.on.a.leash",-1.55334844578306,0.331873256308396,-4.68054721571055,2.86110206692337e-06,58.3519327913005,-1.55334844578306,0.331873256308396,-4.68054721571055,2.86110206692337e-06
"X11.When.approached.directly.by.an.unfamiliar.child.while.being.walkedexercised.on.a.leash",-1.64865862558738,18.2147270479798,0.345298087499438,2399.54474411053,-4.77459529974971,0.00759090952260266,1.80068997513358e-06,0.993943388655103,54.7836152810264
"X12.Toward.unfamiliar.persons.approaching.the.dog.while.she.is.in.your.car.at.the.gas.station.for.example",-1.63409926462708,1.08939950975139,0.350550564481024,0.878616147763401,-4.66152227438656,1.23990381069658,3.13879089775936e-06,0.215010974247446,56.4604883249105
"X13.When.toys.bones.or.other.objects.are.taken.away.by.a.household.member",-1.55334844578306,0.331873256308396,-4.68054721571055,2.86110206692337e-06,58.3519327913005,-1.55334844578306,0.331873256308396,-4.68054721571055,2.86110206692337e-06
"X14.When.bathed.or.groomed.by.a.household.member",-1.53393035992596,-15.0321380625453,0.332440873008037,2399.54474238506,-4.61414490356266,-0.00626457919163609,3.9471698268272e-06,0.995001621676608,57.9647533339304
"X15.When.an.unfamiliar.person.approaches.you.or.another.member.of.your.family.at.home",-1.64865862558738,9.10736352410234,0.345298087499438,1199.77237219061,-4.77459529974971,0.00759090952184005,1.80068997513359e-06,0.993943388655711,54.7836152810264
"X16.When.unfamiliar.persons.approach.you.or.another.member.of.your.family.away.from.your.home",-1.64865862558738,18.2147270481725,0.345298087499438,2399.54474434145,-4.77459529974971,0.00759090952195246,1.80068997513358e-06,0.993943388655621,54.7836152810264
"X17.When.approached.directly.by.a.household.member.while.she.the.dog.is.eating",-1.55334844578306,0.331873256308396,-4.68054721571055,2.86110206692337e-06,58.3519327913005,-1.55334844578306,0.331873256308396,-4.68054721571055,2.86110206692337e-06
"X18.When.mailmen.or.other.delivery.workers.approach.your.home",-1.61889197375279,0.384132062080307,0.368422409196697,0.63011347564084,-4.3941191777194,0.609623626426393,1.11222790165188e-05,0.542111157088473,57.617246533027
