Code,Extraversion-Active,Extraversion-Energetic,Extraversion-Excitable,Extraversion-Hyperactive,Extraversion-Lively,Extraversion-Restless,Extraversion-Comments,Motivation-Assertive,Motivation-Determined,Motivation-Independent,Motivation-Persevering,Motivation-Tenacious,Motivation-Comments,Training-Attentive,Training-Biddable,Training-Intelligent,Training-Obedient,Training-Reliable,Training-Trainable,Training-Comments,Amicability-Easy-going,Amicability-Frienly,Amicability-Non-aggressive,Amicability-Relaxed,Amicability-Sociable,Amicability-Comments,Neuroticism-Fearful,Neuroticism-Nervous,Neuroticism-Submissive,Neuroticism-Timid,Neuroticism-Comments,Status,DOA,End Date,Duration
04-01-LD,5,5,5,5,5,5,,4,4,4,5,5,,3,4,5,4,3,4,,3,5,6,2,5,,2,2,2,1,,GD,2019-04-24,2019-12-13,233 days
04-02-LE,4,3,5,3,4,3,,2,2,1,3,2,,5,5,4,6,4,4,,2,6,6,3,5,,4,4,3,4,,AD,2019-04-24,2019-11-29,219 days
04-03-LD,4,4,4,3,3,3,,3,3,3,2,2,"More determined to get the food when distracted by food distractions, easier to get his attention from any other distraction in the street",3,3,4,4,3,4,,2,6,6,2,5,Kennel environment and busy environments tend to make him anxious (panting and lip smacking),3,4,4,4,Sensitive to noises and often on high alert  so reacts easily,W,2019-04-24,2019-08-06,104 days
04-04-LZ,3,3,3,3,3,4,,4,3,3,3,3,,4,3,4,2,3,4,,5,5,6,4,4,,1,1,1,2,,GD,2019-04-24,2019-10-25,184 days
04-05-LF,3,3,3,1,3,2,,3,3,3,3,2,,4,4,5,5,5,5,,4,6,1,4,4,,1,1,2,2,,GD,2019-04-24,2019-11-25,215 days
04-06-LF,5,5,6,6,5,6,,5,4,3,5,5,,5,5,6,6,5,5,,1,5,6,2,3,,1,2,2,1,,W,2019-04-24,2019-08-02,100 days
04-07-LE,3,3,3,1,3,2,,2,3,2,3,2,,5,5,5,5,4,4,,4,6,1,4,4,,1,1,2,2,,GD,2019-04-24,2019-11-25,215 days
04-08-LE,2,2,2,2,2,2,,2,3,2,2,2,,4,2,3,4,2,2,,2,4,6,2,5,,5,4,5,5,,W,2019-04-24,2019-08-19,117 days
05-01-LD,4,4,4,2,4,3,,3,3,2,3,2,,5,5,6,6,4,4,,2,5,6,3,5,,2,2,2,2,,AD,2019-05-01,2019-10-25,177 days
05-01-LD,3,5,3,3,2,3,,4,4,3,4,3,,4,4,5,4,4,5,,4,5,6,5,5,,1,1,2,2,,AD,2019-05-01,2019-10-25,177 days
05-02-LF,5,5,5,3,5,3,,4,4,4,4,4,,4,4,4,4,3,4,,2,6,1,3,4,,1,1,2,1,,GD,2019-05-01,2019-12-20,233 days
05-03-LF,3,3,3,2,2,3,Restless when asked to sit in a busy environment as anxious in busy environment,3,4,3,2,2,,4,3,4,3,3,3,More focused in quiet areas as anxious in busier areas also anxiety increases with equipment which can cause her to loose focus,5,6,6,4,4,,5,6,3,4,,GD,2019-05-01,2019-11-25,208 days
05-04-LZ,5,5,5,3,4,3,,4,5,5,5,5,,5,5,6,6,4,4,,3,4,6,3,4,,2,2,3,1,,W,2019-05-01,2019-08-06,97 days
05-04-LZ,4,4,3,3,3,5,,3,4,4,4,3,,3,3,3,3,2,3,,3,4,6,5,4,,1,1,2,2,,W,2019-05-01,2019-08-06,97 days
05-05-LE,4,4,3,2,3,2,,3,5,4,4,2,,5,5,6,5,5,6,,3,6,5,4,5,,2,2,4,3,,GD,2019-05-01,2019-12-13,226 days
05-11-LE,5,5,5,5,5,5,,3,4,2,3,3,,3,3,3,4,3,5,,3,4,6,2,4,,2,2,2,3,,GD,2019-05-15,2020-07-09,421 days
05-13-LE,4,4,4,4,4,2,,4,4,3,4,3,,5,4,5,5,4,6,,3,6,6,4,6,,1,1,2,1,,GD,2019-05-15,2019-12-13,212 days
05-14-LE,3,3,3,2,4,3,,3,3,3,3,4,,5,4,5,4,5,5,,3,4,6,3,5,,1,2,3,2,,AD,2019-05-15,2019-10-25,163 days
05-22-LE,3,3,3,2,3,1,"Most excited when free running, This excitement is rarely seen during training sessions",2,3,3,2,2,,4,5,5,5,4,4,She is obiedience and responsive but lacks confidence at times which can affect her trainability ,5,5,3,4,4,Can be full on when playing with other dogs,3,4,2,2,,W,2019-05-28,2019-11-12,168 days
07-02-LH,3,3,3,2,2,2,,3,4,3,3,2,,4,4,3,4,3,4,,5,5,5,5,5,,1,1,2,1,,GD,2019-07-02,,
07-02-LH,4,5,6,4,4,5,NB: On the first questionnaire this dog was recorded as Goober- Mix up,4,3,4,3,5,,4,5,6,4,4,5,,2,5,6,4,5,,3,3,2,1,,GD,2019-07-02,,
07-03-LE,4,4,3,2,4,2,,4,3,3,3,3,,5,4,5,4,4,5,,2,3,4,3,3,,2,3,3,4,,GD,2019-07-02,2020-02-02,215 days
07-12-LG,3,2,2,2,2,2,,3,4,3,3,3,,4,5,5,4,4,5,,5,5,6,5,5,,1,1,3,3,,AD,2019-06-16,2020-01-28,226 days
07-13-LE,5,6,4,3,6,3,,6,5,4,4,3,,5,6,5,5,6,6,great worker ,4,6,6,3,5,,1,2,3,2,,GD,2019-07-30,2020-02-03,188 days
07-14-LG,2,2,3,3,3,3,,1,1,2,1,2,,1,3,2,2,2,2,"Anxious, type",2,3,3,1,2,,2,2,3,2,"Anxious, not nervous. High body sensitivity, does affect overall demeanour. ",AD,2019-07-21,2019-11-29,131 days
08-01-LH,3,3,4,2,2,4,"not people focused, independent.",3,3,5,3,3,"more highly motivated for his own gain, not hugely willing in training",2,3,3,2,2,3,not very challenging but would not describe as willing or that responsive to handler,4,3,4,2,3,not particularly amicable but tolerant but self interested,3,4,3,3,"insecure, excitable with other dogs, anxious around dogs so become a bit reactive to them",AD,2019-08-21,2019-11-29,100 days
08-02-LH,4,4,4,4,4,3,,3,3,2,3,3,,4,3,4,5,4,4,,4,6,6,4,4,,3,2,3,3,,AD,2019-08-21,2020-01-28,160 days
08-03-LH,4,4,5,5,5,4,,3,3,3,3,3,,3,4,4,5,4,4,,4,5,6,4,5,,3,4,4,3,,AD,2019-08-21,2020-02-12,175 days
08-03-LH,5,4,3,2,5,4,hans finds it difficult to settle especially when dogs are around,2,2,2,4,3,,6,6,4,5,4,5,,2,6,3,1,4,,4,3,3,3,,AD,2019-08-21,2020-02-12,175 days
08-11-LJ,3,2,3,1,3,2,she can be lazy. ,3,5,5,2,3,needs a lot of motivation ,4,3,5,3,4,5,,3,4,6,5,4,likes her own company. self interested ,1,1,2,2,,GD,2019-08-28,2020-02-03,159 days
08-12-LH,4,4,6,5,4,2,,3,2,5,3,5,,2,2,4,2,2,1,,2,1,3,1,2,,6,5,3,6,,W,2019-08-28,2019-12-04,98 days
