Code,Timestamp,Extraversion-Active,Extraversion-Energetic,Extraversion-Excitable,Extraversion-Hyperactive,Extraversion-Lively,Extraversion-Restless,Extraversion-Comments,Motivation-Assertive,Motivation-Determined,Motivation-Independent,Motivation-Persevering,Motivation-Tenacious,Motivation-Comments,Training-Attentive,Training-Biddable,Training-Intelligent,Training-Obedient,Training-Reliable,Training-Trainable,Training-Comments,Amicability-Easy-going,Amicability-Friendly,Amicability-Non-aggressive,Amicability-Relaxed,Amicability-Sociable,Amicability-Comments,Neuroticism-Fearful,Neuroticism-Nervous,Neuroticism-Submissive,Neuroticism-Timid,Neuroticism-Comments,Extraversion,Motivation,Training,Amicability,Neuroticism,DOA,Name,PR Sup,DOB,Sex,Source,Status,End Date,Breed,Coat Colour,Duration,Outcome,Label
04-01-LD,2019-05-17 14:17:43,5,5,5,5,5,5,,4,4,4,5,5,,3,4,5,4,3,4,,3,5,6,2,5,,2,2,2,1,,0.2566295979469632,0.22583404619332764,0.19674935842600513,0.2309666381522669,0.08982035928143713,2019-04-24 00:00:00,Diva,Catherine,2018-02-11 00:00:00,F,IGDB,GD,2019-12-13 00:00:00,LRx,,233 days,Success,2.0
04-02-LE,2019-05-20 13:31:34,4,3,5,3,4,3,,2,2,1,3,2,,5,5,4,6,4,4,,2,6,6,3,5,,4,4,3,4,,0.19213973799126638,0.10480349344978167,0.24454148471615725,0.26200873362445415,0.19650655021834063,2019-04-24 00:00:00,Earl,Catherine,2018-03-12 00:00:00,M,IGDB,AD,2019-11-29 00:00:00,LRx,,219 days,Success,1.0
04-03-LD,2019-05-20 15:19:40,4,4,4,3,3,3,,3,3,3,2,2,"More determined to get the food when distracted by food distractions, easier to get his attention from any other distraction in the street",3,3,4,4,3,4,,2,6,6,2,5,Kennel environment and busy environments tend to make him anxious (panting and lip smacking),3,4,4,4,Sensitive to noises and often on high alert  so reacts easily,0.19337016574585633,0.143646408839779,0.19337016574585633,0.26243093922651933,0.20718232044198892,2019-04-24 00:00:00,Douglas,Rose,2018-02-11 00:00:00,M,IGDB,W,2019-08-06 00:00:00,LRx,,104 days,Fail,0.0
04-04-LZ,2019-05-17 14:16:42,3,3,3,3,3,4,,4,3,3,3,3,,4,3,4,2,3,4,,5,5,6,4,4,,1,1,1,2,,0.2016985138004246,0.20382165605095542,0.21231422505307856,0.30254777070063693,0.07961783439490445,2019-04-24 00:00:00,Zodiac,Rose,2018-04-06 00:00:00,M,Private breeder,GD,2019-10-25 00:00:00,LR,,184 days,Success,2.0
04-05-LF,2019-05-21 13:52:18,3,3,3,1,3,2,,3,3,3,3,2,,4,4,5,5,5,5,,4,6,1,4,4,,1,1,2,2,,0.16429353778751368,0.18400876232201532,0.30668127053669225,0.24644030668127054,0.09857612267250822,2019-04-24 00:00:00,Fargo,Graham,2018-03-16 00:00:00,M,IGDB,GD,2019-11-25 00:00:00,LR,,215 days,Success,2.0
04-06-LF,2019-05-20 14:54:57,5,5,6,6,5,6,,5,4,3,5,5,,5,5,6,6,5,5,,1,5,6,2,3,,1,2,2,1,,0.2652733118971061,0.2122186495176849,0.2572347266881029,0.19292604501607716,0.07234726688102894,2019-04-24 00:00:00,Frida,Graham,2018-03-16 00:00:00,F,IGDB,W,2019-08-02 00:00:00,LR,,100 days,Fail,0.0
04-07-LE,2019-05-21 13:49:56,3,3,3,1,3,2,,2,3,2,3,2,,5,5,5,5,4,4,,4,6,1,4,4,,1,1,2,2,,0.1687289088863892,0.16197975253093364,0.3149606299212599,0.2530933633295838,0.10123734533183353,2019-04-24 00:00:00,Elf,Frances,2018-03-12 00:00:00,M,IGDB,GD,2019-11-25 00:00:00,LRx,,215 days,Success,2.0
04-08-LE,2019-08-12 13:20:38,2,2,2,2,2,2,,2,3,2,2,2,,4,2,3,4,2,2,,2,4,6,2,5,,5,4,5,5,,0.12474012474012476,0.13721413721413725,0.17671517671517675,0.2650727650727651,0.2962577962577963,2019-04-24 00:00:00,Emmy,Graham,2018-03-12 00:00:00,F,IGDB,W,2019-08-19 00:00:00,LRx,,117 days,Fail,0.0
04-11-LV,2021-06-20 13:07:42,3,3,3,2,2,3,,2,3,2,3,2,,5,5,5,5,5,5,,3,3,3,3,3,Can be cautious of new people and has potential to bark if someone is too full on with him on greeting him for first time but once he knows you he is really friendly and sociable.,2,4,2,2,Nervous initially with new people greeting him full on.,0.17130620985010706,0.15417558886509636,0.32119914346895073,0.19271948608137046,0.16059957173447537,2021-04-07 00:00:00,Vaughan,Rose,2019-06-11 00:00:00,M,IGDB,AD,2021-08-27 00:00:00,LR,,142 days,Success,1.0
04-12-LY,2021-06-20 13:11:48,4,4,3,3,4,3,,3,4,4,4,3,,6,5,6,5,5,6,,6,6,6,6,6,,2,2,2,2,,0.1699029126213592,0.17475728155339806,0.2669902912621359,0.2912621359223301,0.0970873786407767,2021-04-07 00:00:00,Yani,Rose,2019-09-25 00:00:00,F,IGDB,AD,2021-08-25 00:00:00,LRxGR,,140 days,Success,1.0
