Intake,Code,DOA,Name,Travel Info,PR Sup,N/S Date,DOB,Trainer,Medical Info,Additional Info,Program Recommendation,Sex,PBS,Breed Original,Source,Diet               ,KC Date,DC1,DC2,Status,End Date,Breed,Initial,Litter,Coat Colour
1,04-01-LD,24/04/2019,Diva,Cat bring to the centre approx 2pm,Catherine,24/01/2019,11/02/2018,Allyce,,,GD,F,No,Lab X,IGDB,180g BID RCMP,11/01/2019,20/05/2019,,GD,13/12/2019,LRx,D,D1,
1,04-02-LE,24/04/2019,Earl,Cat bring to the centre approx 2pm,Catherine,18/10/2018,12/03/2018,Ciara F,,,AD,M,No,Lab X,IGDB,180g BID RCMP,20/02/2019,20/05/2019,03/07/2019,AD,29/11/2019,LRx,E,E1,
1,04-03-LD,24/04/2019,Douglas,Rose collecting and dropping to centre time tbc,Rose,07/11/2018,11/02/2018,Anne Marie,,,GD,M,No,Lab x,IGDB,200g RCMP BID,TBC (PR getting done),20/05/2019,04/07/2019,W,06/08/2019,LRx,D,D1,
1,04-04-LZ,24/04/2019,Zodiac,Rose collecting and dropping to centre time tbc,Rose,20/11/2018,06/04/2018,Nadine,,Has had 2 different raiser's who both need to be contacted with updates from the trainer,GD,M,No,Lab,Private breeder,180g RCMP BID,23/01/2019,20/05/2019,16/07/2019,GD,25/10/2019,LR,Z,Z1,
1,04-05-LF,24/04/2019,Fargo,Being brought down by temp PR Dee Betson to arrive on site between 1pm and 1:30pm,Graham,25/10/2018,16/03/2018,Susan,,Raiser has to travel away that day so Dee is bringing him down now rather than Andy on the day.,GD,M,No,Lab X,IGDB,160g x 2 RCMP,08/03/2019,23/05/2019,03/07/2019,GD,25/11/2019,LR,F,F1,
1,04-06-LF,24/04/2019,Frida,Needs collecting from J14 at 11.30am.,Graham,17/10/2018,16/03/2018,Ciara F,,,AD,F,No,Lab X,IGDB,180g x 2 RCMP,03/04/2019,,,W,02/08/2019,LR,F,F1,
1,04-07-LE,24/04/2019,Elf,Needs collecting from J14 at 11.30am.,Frances,08/11/2018,12/03/2018,Susan,,Is in a temp home for the month of january with Jim McCann,GD,M,No,Lab X,IGDB,RCMP 180g x 2,15/04/2019,22/05/2019,03/07/2019,GD,25/11/2019,LRx,E,E1,
1,04-08-LE,24/04/2019,Emmy,Being brought down by PR to arrive on site between 1pm and 1:30pm. ,Graham,,12/03/2018,Ciara F,,Is still entire as was PBS and is now in heat so will need to be spayed (1st week in May as that will be 5 weeks after her season ended) and recover in her temp home which has been arranged by Tara. Will hopefully be spayed and recovered for May 14th intake.,AD,F,Yes,Lab X,IGDB,RCMP 170g x 2,03/03/2019,18/06/2019,12/08/2019,W,19/08/2019,LRx,E,E1,
2,05-01-LD,01/05/2019,Dugg,Needs collection from Junction 14 Mayfield at 11:30am,Graham,28/08/2018,11/02/2018,Ciara F,Sensitive stomach & has stayed on sensitive as reintroducing the maxi puppy made his sensitive stomach come back. Vet recommends that he stay on sensitivity.,Will need a temp home as he is a sensitive pup.,AD,M,No,Lab/GRT,IGDB,RC Sensitive  225g x 2 ,01/04/2019,22/05/2019,17/07/2019,AD,25/10/2019,LRxGR,D,D1,
2,05-02-LF,01/05/2019,Flora,Needs collection from Junction 14 Mayfield at 11:30am,Graham,06/11/2018,16/03/2018,Ciara F,If she drinks too close after eating she can vomit her food back up so the raiser waits up to to 10 mins before giving her water after meals. Vets can't find the cause so it seems like she just gets very excited around feed times.,Stressy pup so will need a temp home,AD,F,No,Lab/GRT,IGDB,RCMP 190g x 2,TBC,23/05/2019,16/07/2019,GD,20/12/2019,LR,F,F1,
2,05-03-LF,01/05/2019,Fawn,"Raiser will bring in from douglas area, preferably afternoon so her daughter can come too.",Catherine,12/11/2018,16/03/2018,Nadine,Can be slow to eat morning feed.,,GD,F,No,Lab,IGDB,170g RCMP BID,06/03/2019,29/05/2019,17/07/2019,GD,25/11/2019,LR,F,F1,
2,05-04-LZ,01/05/2019,Zeb,Raiser will bring in from Douglas area. Call for time but very flexible person in general.,Catherine,10/12/2018,06/04/2018,Susan,,,GD,M,No,Lac,Private breeder,180g RCMP BID,25/02/2019,22/05/2019,17/07/2019,W,06/08/2019,LR,Z,Z1,
2,05-05-LE,01/05/2019,Eldin,Puppy raiser bringing in. Will need tour ,Rose,17/10/2018,12/03/2018,Nadine,Concern re gait behind during puppy raising but was x-rayed at 12 months and NAD  1.30pm,,GD,M,No,Labx g.ret,IGDB,250g AM 100g PM RCMP BID,11/03/2019,29/05/2019,17/07/2019,GD,13/12/2019,LRx,E,E1,
3,05-11-LE,15/05/2019,Edrick,"Puppy raising bringing to centre with kids, will need tour",Rose,17/01/2019,12/03/2018,Ciara F,,,GD,M,No,lab x,IGDB,RCMP 180g BID,29/03/2019,13/06/2019,31/07/2019,GD,09/07/2020,LRx,E,E1,
3,05-12-LF,15/05/2019,Finesse,"Puppy raising bringing to centre, has seen centre before but would love to meet with the trainer",Rose,26/10/2018,16/03/2018,,,,GD,F,No,lab,IGDB,RCMP 130g BID,25/04/2019,,,W,03/07/2019,LR,F,F1,
3,05-13-LE,15/05/2019,Esme,Raiser bringing to the training centre to arrive between 1 and 1:30pm,Graham,03/04/2019,12/03/2018,Allyce,,,AD,F,No,lab x,IGDB,RCMP 165g x 2,28/02/2019,13/06/2019,,GD,13/12/2019,LRx,E,E1,
3,05-14-LE,15/05/2019,Ebbi,Raiser meeting Frances at Junction 14 Mayfield at 11:30am to hand over Ebbi. Will need collection by volunteer driver at 11:30am.,Graham,02/04/2019,12/03/2018,Ciara F,,,AD,F,No,lab x,IGDB,RCMP 175g x 2,03/05/2019,13/06/2019,31/07/2019,AD,25/10/2019,LRx,E,E1,
3,05-15-LG,15/05/2019,Gaston,Frances collecting from raiser at 10:15am and dropping to Junction 14 for 11:30am so will need volunteer driver and van ,Graham,17/12/2018,15/04/2018,Ciara F,,Not a good traveler - see final assessment on PAWS - will most likely struggle on the journey down in the van to Cork so would travel better in the footwell.,AD,M,No,lab x,IGDB,RCMP 180g x 2,17/04/2019,,,GD,03/02/2020,LRxGR,G,G1,
