Variable,Type
Code,info
Extraversion.Active,ordinal
Extraversion.Energetic,ordinal
Extraversion.Excitable,ordinal
Extraversion.Hyperactive,ordinal
Extraversion.Lively,ordinal
Extraversion.Restless,ordinal
Extraversion.Comments,comments
Motivation.Assertive,ordinal
Motivation.Determined,ordinal
Motivation.Independent,ordinal
Motivation.Persevering,ordinal
Motivation.Tenacious,ordinal
Motivation.Comments,comments
Training.Attentive,ordinal
Training.Biddable,ordinal
Training.Intelligent,ordinal
Training.Obedient,ordinal
Training.Reliable,ordinal
Training.Trainable,ordinal
Training.Comments,comments
Amicability.Easy.going,ordinal
Amicability.Friendly,ordinal
Amicability.Non.aggressive,ordinal
Amicability.Relaxed,ordinal
Amicability.Sociable,ordinal
Amicability.Comments,comments
Neuroticism.Fearful,ordinal
Neuroticism.Nervous,ordinal
Neuroticism.Submissive,ordinal
Neuroticism.Timid,ordinal
Neuroticism.Comments,comments
Status,info
DOA,info
End.Date,info
Duration,info
