"","value"
"Motivation Persevering",-0.139310094848082
"Training Attentive",-0.293733314325307
"Training Obedient",-0.333540262837837
"Training Reliable",-0.380059541974456
"Training Trainable",-0.381100124538109
"Amicability Easy going",-0.251818461077469
"Amicability Friendly",-0.323686492987253
"Amicability Relaxed",-0.28069339156861
"Amicability Sociable",-0.327374734615557
"Neuroticism Nervous",0.23501261296309
"Neuroticism Submissive",0.173877274566848
"Neuroticism Timid",0.231881554563785
