"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"Extraversion Active",-0.538725066683448,-0.223179841924328,0.962148851085328,0.252563010025202,-0.559918630132701,-0.883660049435021,0.575534940663666,0.376879752555711,4
"Extraversion Energetic",-0.853763361617642,-0.139879086599126,0.866331837310291,0.225991699246966,-0.985492307737794,-0.618956745160203,0.324382308023747,0.535944854513753,4
"Extraversion Excitable",-2.00861516935785,0.166439497469254,0.891893818119894,0.218787982393548,-2.25207881089701,0.760734184978539,0.0243172920692999,0.446815852066555,4
"Extraversion Hyperactive",-2.44158595085912,0.369358963430194,0.675978937813737,0.20253513168064,-3.61192607384446,1.82367849155476,0.000303931217572518,0.0682006923704454,4
"Extraversion Lively",-1.35115768863851,-0.00585007231547475,0.829319267784359,0.217615579511708,-1.62923706360798,-0.0268825987946328,0.103262843616322,0.978553372652362,4
"Extraversion Restless",-1.93070914993631,0.176512010874371,0.675035801364771,0.190507759029835,-2.86015815166077,0.92653449798193,0.00423429786626159,0.354168277556676,4
"Motivation Assertive",-1.04291164211047,-0.102619026500338,0.955516504320919,0.288417351526345,-1.09146376582126,-0.355800460538395,0.275068867315461,0.721990004165265,4
"Motivation Determined",0.278193749679741,-0.481051348187619,0.999480703276933,0.290241643994281,0.27833828984156,-1.65741670136453,0.780752685881009,0.0974352570900886,4
"Motivation Independent",-0.382004548359185,-0.31622456591987,0.793746354851214,0.247677507675076,-0.481267782868484,-1.27675931855193,0.630326191410763,0.201687232033019,4
"Motivation Persevering",0.549655643446846,-0.590630268131221,0.96911805101541,0.298625830316669,0.567170988994514,-1.9778271273617,0.570598016235983,0.047948212086032,4
"Motivation Tenacious",-0.756119428647677,-0.194976926534873,0.840082203539067,0.257447954171282,-0.90005409644714,-0.757345022074454,0.368091462861021,0.448843184475424,4
"Training Attentive",0.707564225524759,-0.558377596413257,0.93344324684254,0.251177985941526,0.758015260079455,-2.22303556707094,0.448441847295397,0.0262134017575152,4
"Training Biddable",0.425306875423677,-0.485890313425402,0.983733487484808,0.266359260532044,0.432339531828986,-1.8241915541245,0.665494659389765,0.0681231180077357,4
"Training Intelligent",0.318834935677258,-0.386352740408946,1.12599414133229,0.256486562300063,0.283158609777496,-1.50632741514526,0.777055255036586,0.131983143739834,4
"Training Obedient",1.06685540085381,-0.62749506769109,1.03586658493492,0.268428229179171,1.02991583700988,-2.33766422261143,0.303049515713524,0.0194046735209351,4
"Training Reliable",2.40774943451168,-1.09222844311195,1.05016417445782,0.316841860454929,2.29273621503492,-3.44723529127023,0.0218631962214153,0.000566355104215733,4
"Training Trainable",3.07336132609041,-1.09207369027645,1.17319908990855,0.292255162317873,2.61964175775995,-3.73671308871064,0.00880221804057673,0.00018644145485585,4
"Amicability Easy going",1.41079428029029,-0.839951784843522,0.850808276688486,0.267914019823242,1.65818118951707,-3.13515427597886,0.0972809003301087,0.00171763754635945,4
"Amicability Friendly",2.22711910820258,-0.762861282669144,1.22839684467265,0.2622773811227,1.81302900431665,-2.90860492583712,0.0698273479481385,0.00363045326136695,4
"Amicability Non aggressive",-0.63602873266001,-0.146198670629489,0.951861572989548,0.184274356725166,-0.668194568105539,-0.793375015534774,0.504009402333956,0.427559362791264,4
"Amicability Relaxed",1.04066939537453,-0.73317939674659,0.763391314329466,0.238021055166518,1.36321880514007,-3.08031319428301,0.17281356233659,0.00206783025045588,4
"Amicability Sociable",1.50254087300365,-0.64240091528429,1.11022998790838,0.249427318299644,1.35336001492301,-2.5755034358849,0.175940644875145,0.0100094278814292,4
"Neuroticism Fearful",-3.34426704539711,0.742782361055971,0.714752977951959,0.227638886898654,-4.67891306305532,3.26298538521084,2.88399684512504e-06,0.00110245204988992,4
"Neuroticism Nervous",-3.09980801491218,0.645528957794732,0.682543836588972,0.212749355992968,-4.54155154400564,3.03422285243518,5.58417289265157e-06,0.00241156218210785,4
"Neuroticism Submissive",-3.15152719404819,0.644087889964238,0.876931861114716,0.288443566826143,-3.59381080080967,2.23297713674598,0.000325876509889581,0.0255504521227861,4
"Neuroticism Timid",-3.29223537418011,0.706460402144934,0.792615024145779,0.257156419820361,-4.1536373572129,2.74720111066424,3.27231633206609e-05,0.00601062655876595,4
"Sex",-1.66500776358891,0.536542511773929,0.412170073967115,0.538706619205457,-4.03961342356397,0.995982771782683,5.35393721206704e-05,0.319258516050214,4
