"","x"
"I_01 When off the leash returns immediately when called",20.3809124953413
"I_27 Toward cats squirrels or other small animals entering your yard",10.8647704725452
"I_75 Chases or would chase birds given the opportunity",27.4870250921677
"I_82 Begs persistently for food when people are eating",64.7893174405079
"I_85 Pulls excessively hard when on the leash",4.16859310222562
"I_90 Hyperactive restless has trouble settling down",45.9679840424399
"I_99 Licks people or objects excessively",5.70544171770891
"F_01 Stranger directed aggression",3.00847009865537
"F_04 Dog directed fear",8.14406601351195
"F_09 Nonsocial fear",18.9555140424858
"F_10 Separation related problems",16.3502144129204
"F_12 Excitability",21.4729982915504
