Item,&,Min.,&,X1st.Qu.,&,Median,&,Mean,&,X3rd.Qu.,&,Max.,&,Missing,\\\hline
1 When off the leash returns immediately when called,&,1,&,3,&,3,&,3.11,&,4,&,4,&,0,\\\hline
2 Obeys the sit command immediately,&,2,&,3,&,4,&,3.49,&,4,&,4,&,0,\\\hline
3 Obeys the stay command immediately,&,1,&,3,&,3,&,3.15,&,4,&,4,&,2,\\\hline
4 Seems to attend/listen closely to everything you say or do,&,2,&,3,&,3,&,3.40,&,4,&,4,&,0,\\\hline
5 Slow to respond to correction or punishment thick-skinned,&,0,&,3,&,3,&,2.96,&,4,&,4,&,6,\\\hline
6 Slow to learn new tricks or tasks,&,0,&,3,&,3,&,3.16,&,4,&,4,&,0,\\\hline
7 Easily distracted by interesting sights sounds or smells,&,0,&,2,&,2,&,2.16,&,3,&,4,&,0,\\\hline
8 Will fetch or attempt to fetch sticks balls or objects,&,1,&,1.75,&,2,&,2.57,&,4,&,4,&,3,\\\hline
9 When verbally corrected or punished scolded shouted at etc by you or a household member,&,0,&,0,&,0,&,0.00,&,0,&,0,&,6,\\\hline
10 When approached directly by an unfamiliar adult while being walked/exercised on a leash,&,0,&,0,&,0,&,0.00,&,0,&,0,&,0,\\\hline
11 When approached directly by an unfamiliar child while being walked/exercised on a leash,&,0,&,0,&,0,&,0.02,&,0,&,1,&,0,\\\hline
12 Toward unfamiliar persons approaching the dog while she is in your car at the gas station for example,&,0,&,0,&,0,&,0.06,&,0,&,2,&,1,\\\hline
13 When toys bones or other objects are taken away by a household member,&,0,&,0,&,0,&,0.00,&,0,&,0,&,0,\\\hline
14 When bathed or groomed by a household member,&,0,&,0,&,0,&,0.02,&,0,&,1,&,0,\\\hline
15 When an unfamiliar person approaches you or another member of your family at home,&,0,&,0,&,0,&,0.03,&,0,&,2,&,0,\\\hline
16 When unfamiliar persons approach you or another member of your family away from your home,&,0,&,0,&,0,&,0.02,&,0,&,1,&,0,\\\hline
17 When approached directly by a household member while she the dog is eating,&,0,&,0,&,0,&,0.00,&,0,&,0,&,0,\\\hline
18 When mailmen or other delivery workers approach your home,&,0,&,0,&,0,&,0.19,&,0,&,2,&,1,\\\hline
19 When his/her food is taken away by a household member,&,0,&,0,&,0,&,0.02,&,0,&,1,&,3,\\\hline
20 When strangers walk past your home while your dog is outside or in the yard,&,0,&,0,&,0,&,0.18,&,0,&,2,&,1,\\\hline
21 When an unfamiliar person tries to touch or pet the dog,&,0,&,0,&,0,&,0.02,&,0,&,1,&,0,\\\hline
22 When joggers cyclists roller bladers or skate boarders pass your home,&,0,&,0,&,0,&,0.08,&,0,&,2,&,1,\\\hline
23 When approached directly by an unfamiliar male dog while being walked/exercised on a leash,&,0,&,0,&,0,&,0.13,&,0,&,3,&,0,\\\hline
24 When approached directly by an unfamiliar female dog while being walked/exercised on a leash,&,0,&,0,&,0,&,0.10,&,0,&,3,&,0,\\\hline
25 When stared at directly by a member of the household,&,0,&,0,&,0,&,0.05,&,0,&,3,&,0,\\\hline
26 Toward unfamiliar dogs visiting your home,&,0,&,0,&,0,&,0.21,&,0,&,3,&,2,\\\hline
27 Toward cats squirrels or other small animals entering your yard,&,0,&,0,&,0,&,0.38,&,1,&,4,&,2,\\\hline
28 Toward unfamiliar persons visiting your home,&,0,&,0,&,0,&,0.03,&,0,&,1,&,0,\\\hline
29 When barked growled or lunged at by another unfamiliar dog,&,0,&,0,&,0,&,0.36,&,0,&,4,&,2,\\\hline
30 When stepped over by a member of the household,&,0,&,0,&,0,&,0.00,&,0,&,0,&,0,\\\hline
31 When you or a household member retrieves food or objects stolen by the dog,&,0,&,0,&,0,&,0.03,&,0,&,1,&,2,\\\hline
32 Towards another familiar dog in your household NA if no other dogs,&,0,&,0,&,0,&,0.09,&,0,&,3,&,10,\\\hline
33 When approached at a favorite resting/sleeping place by another familiar household dog NA if no other dogs,&,0,&,0,&,0,&,0.04,&,0,&,1,&,11,\\\hline
34 When approached while eating by another familiar household dog NA if no other dogs,&,0,&,0,&,0,&,0.10,&,0,&,2,&,12,\\\hline
35 When approached while playing with/chewing a favorite toy bone object etc by another familiar household dog NA if no other dogs,&,0,&,0,&,0,&,0.09,&,0,&,3,&,10,\\\hline
36 When approached directly by an unfamiliar adult while away from your home,&,0,&,0,&,0,&,0.08,&,0,&,1,&,0,\\\hline
37 When approached directly by an unfamiliar child while away from your home,&,0,&,0,&,0,&,0.00,&,0,&,0,&,1,\\\hline
38 In response to sudden or loud noises eg vacuum cleaner car backfire road drills objects being dropped etc,&,0,&,0,&,0,&,0.52,&,1,&,4,&,0,\\\hline
39 When unfamiliar persons visit your home,&,0,&,0,&,0,&,0.03,&,0,&,1,&,1,\\\hline
40 When an unfamiliar person tries to touch or pet the dog,&,0,&,0,&,0,&,0.03,&,0,&,1,&,0,\\\hline
41 In heavy traffic,&,0,&,0,&,0,&,0.19,&,0,&,2,&,0,\\\hline
