"","Estimate","p-value","OR","2.5 %","97.5 %"
"I_01 When off the leash returns immediately when called",-1.11503516242547,0.0146791430048207,0.327903748805748,0.122422757673671,0.764372481571353
"I_02 Obeys the sit command immediately",-0.392572852380274,0.448173379045644,0.675317146098896,0.243826157156957,1.94643581186213
"I_03 Obeys the stay command immediately",0.108853893663253,0.8125747140732,1.1149994299577,0.463583288354644,2.90638807127793
"I_04 Seems to attend or listen closely to everything you say or do",-0.119382964528529,0.834158769652904,0.887467866961556,0.288332180218334,2.81489741594473
"I_05 Slow to respond to correction or punishment thickskinned",-0.0765479445560321,0.825872792036804,0.926308501774295,0.481714240825439,1.98154374259806
"I_06 Slow to learn new tricks or tasks",0.166783977483131,0.661121739233979,1.18149900734938,0.60139292389971,2.78515448197945
"I_07 Easily distracted by interesting sights sounds or smells",-0.780832225272724,0.0643977357189585,0.458024672939169,0.188015821924821,1.0196709810402
"I_08 Will fetch or attempt to fetch sticks balls or objects",-0.0566827433976433,0.845967881150298,0.944893795614128,0.524586404037265,1.68678688969512
"I_09 When verbally corrected or punished scolded shouted at etc by you or a household member",0.348247890383006,-4.44385321907904,1.41658336361192,NA,NA
"I_10 When approached directly by an unfamiliar adult while being walked on a leash",0.331873256308396,-4.68054721571055,1.39357621032544,NA,NA
"I_11 When approached directly by an unfamiliar child while being walked on a leash",18.2147270479798,0.993943388655103,81387076.0904497,4.07333228690372e-205,NA
"I_12 Toward unfamiliar persons approaching the dog while she is in your car at the gas station for example",1.08939950975139,0.215010974247446,2.97248858612304,0.46701390734792,22.6605984428158
"I_13 When toys bones or other objects are taken away by a household member",0.331873256308396,-4.68054721571055,1.39357621032544,NA,NA
"I_14 When bathed or groomed by a household member",-15.0321380625453,0.995001621676608,2.9622751013193e-07,NA,5.88634034016752e+205
"I_15 When an unfamiliar person approaches you or another member of your family at home",9.10736352410234,0.993943388655711,9021.47859880801,6.38226610475757e-103,NA
"I_16 When unfamiliar persons approach you or another member of your family away from your home",18.2147270481725,0.993943388655621,81387076.1061335,4.07333209606508e-205,NA
"I_17 When approached directly by a household member while she the dog is eating",0.331873256308396,-4.68054721571055,1.39357621032544,NA,NA
"I_18 When mailmen or other delivery workers approach your home",0.384132062080307,0.542111157088473,1.46833934082629,0.350484008870413,4.80179274329068
"I_19 When his or her food is taken away by a household member",-14.9768332173506,0.995020011010599,3.13071819532858e-07,NA,6.09097274109876e+205
"I_20 When strangers walk past your home while your dog is outside or in the yard",0.0297312012306656,0.969604827978463,1.0301775862662,0.15719354473356,4.12278513241747
"I_21 When an unfamiliar person tries to touch or pet the dog",18.2147270481954,0.99394338865568,81387076.1079948,4.0733320745819e-205,NA
"I_22 When joggers cyclists rollerbladers or skateboarders pass your home",0.861488767636516,0.291582478493494,2.36668151105563,0.380583083999811,13.2962257324618
"I_23 When approached directly by an unfamiliar male dog while being walked on a leash",1.01290280096193,0.123771443162679,2.75358252705028,0.816565402103635,12.9385239670785
"I_24 When approached directly by an unfamiliar female dog while being walked on a leash",0.832047192663747,0.201986700958672,2.29801841449283,0.624218375968123,11.6262850947786
"I_25 When stared at directly by a member of the household",6.07157568272297,0.993943388655614,433.362986455834,7.41281690360494e-69,NA
"I_26 Toward unfamiliar dogs visiting your home",1.30951622713616,0.0118992752080196,3.704381199559,1.51396533063618,12.9482137656776
"I_27 Toward cats squirrels or other small animals entering your yard",1.00457662494424,0.0395414325342284,2.73075089623974,1.15097239629132,8.14408994815386
"I_28 Toward unfamiliar persons visiting your home",1.62924053969911,0.263109974882244,5.09999999984105,0.191163489814849,136.435792141576
"I_29 When barked growled or lunged at by another unfamiliar dog",1.07028394664449,0.0120388689964351,2.9162074297418,1.42825339509105,8.11213457703948
"I_30 When stepped over by a member of the household",0.331873256308396,-4.68054721571055,1.39357621032544,NA,NA
"I_31 When you or a household member retrieves food or objects stolen by the dog",-14.9768332173516,0.992957277831025,3.13071819532534e-07,NA,9.92884676742821e+108
"I_32 Towards another familiar dog in your household NA if no other dogs",1.93214009965795,0.129909000421679,6.90427026842349,1.20727330601241,172.190809218765
"I_33 When approached at a favorite resting or sleeping place by another familiar household dog NA if no other dogs",-15.0497209330977,0.992923003948344,2.91064503420955e-07,NA,8.65785585524885e+108
"I_34 When approached while eating by another familiar household dog NA if no other dogs",-16.3048515395739,0.99515357765697,8.29646237759661e-08,NA,7.93929631731894e+125
"I_35 When approached while playing with or chewing a favorite toy bone object etc by another familiar household dog NA if no other dogs",0.931367950618929,0.197431267709633,2.53797863349719,0.667092995483782,18.108203299497
"I_36 When approached directly by an unfamiliar adult while away from your home",0.182321556794158,0.876253337353533,1.20000000000024,0.0580750441380306,9.25754096206805
"I_37 When approached directly by an unfamiliar child while away from your home",0.332440867365859,-4.61414498187382,1.39436744412712,NA,NA
