"","estimate","std.error","statistic","p.value"
"(Intercept)",-380.368512888728,191217.652956136,-0.00198919141098329,0.998412855931385
"I_01 When off the leash returns immediately when called",-33.7964595086504,44465.6319752039,-0.000760058004516768,0.99939356151127
"I_27 Toward cats squirrels or other small animals entering your yard",13.6858825357957,36687.4668479604,0.000373039724778832,0.999702357369936
"I_75 Chases or would chase birds given the opportunity",82.1726835515726,29519.9120335565,0.00278363578652144,0.997778982851343
"I_82 Begs persistently for food when people are eating",97.138274125884,49960.1614044531,0.00194431465782306,0.998448662330616
"I_85 Pulls excessively hard when on the leash",15.9701188164408,15342.632099417,0.00104089824437931,0.999169483511416
"I_90 Hyperactive restless has trouble settling down",-91.668418766458,51614.1914105353,-0.00177603128638274,0.998582932802065
"I_99 Licks people or objects excessively",56.4755583791884,25995.4070291461,0.00217252064242995,0.998266580684958
"F_01 Stranger directed aggression",-319.218283708535,158183.784734638,-0.00201802153263712,0.998389852868605
"F_04 Dog directed fear",-120.875309269887,47575.4999468613,-0.00254070497219991,0.997972812910104
"F_09 Nonsocial fear",124.321328657174,75214.2477160778,0.00165289599287715,0.998681180407187
"F_10 Separation related problems",174.997766324065,78518.7194929787,0.00222873943250837,0.998221724688948
"F_12 Excitability",49.8012940852631,36845.941976574,0.00135160865521978,0.998921572650106
