"","value"
"I_01 When off the leash returns immediately when called",0.264588158257308
"I_27 Toward cats squirrels or other small animals entering your yard",-0.313248329475477
"I_75 Chases or would chase birds given the opportunity",-0.231289978992132
"I_82 Begs persistently for food when people are eating",-0.216844773328043
"I_85 Pulls excessively hard when on the leash",-0.253959758388331
"I_90 Hyperactive restless has trouble settling down",-0.251658496461375
"I_99 Licks people or objects excessively",-0.214362068354424
"F_02 Stranger directed aggression",-0.301423962256005
"F_06 Nonsocial fear",-0.329966614458438
"F_08 Dog directed fear",-0.34815865552591
"F_10 Separation related behaviour",-0.324646154616623
"F_11 Excitability",-0.362255820676037
