"","Variables","ROC","Sens","Spec"
"1",1,0.840909090909091,0.363636363636364,0.942307692307692
"2",2,0.755244755244755,0.272727272727273,0.923076923076923
"3",3,0.659090909090909,0.272727272727273,0.884615384615385
"4",4,0.606643356643357,0.272727272727273,0.884615384615385
"5",5,0.578671328671329,0.272727272727273,0.884615384615385
"6",6,0.608391608391608,0.272727272727273,0.903846153846154
"7",7,0.622377622377622,0.272727272727273,0.903846153846154
"8",8,0.634615384615385,0.363636363636364,0.903846153846154
"9",9,0.629370629370629,0.272727272727273,0.884615384615385
"10",10,0.629370629370629,0.272727272727273,0.884615384615385
