Item,&,estimate_0,&,estimate_1,&,se_0,&,se_1,&,z_value_0,&,z_value_1,&,p_value_0,&,p_value_1,&,deviance,\\\hline
1 When off the leash returns immediately when called,&,1.69,&,-1.12,&,1.30,&,0.46,&,1.30,&,-2.44,&,1.94E-01,&,1.47E-02,&,5.16E+01,\\\hline
2 Obeys the sit command immediately,&,-0.20,&,-0.39,&,1.79,&,0.52,&,-0.11,&,-0.76,&,9.10E-01,&,4.48E-01,&,5.78E+01,\\\hline
3 Obeys the stay command immediately,&,-1.97,&,0.11,&,1.50,&,0.46,&,-1.31,&,0.24,&,1.90E-01,&,8.13E-01,&,5.44E+01,\\\hline
4 Seems to attend/listen closely to everything you say or do,&,-1.15,&,-0.12,&,1.95,&,0.57,&,-0.59,&,-0.21,&,5.56E-01,&,8.34E-01,&,5.83E+01,\\\hline
5 Slow to respond to correction or punishment thick-skinned,&,-1.21,&,-0.08,&,1.07,&,0.35,&,-1.13,&,-0.22,&,2.61E-01,&,8.26E-01,&,5.59E+01,\\\hline
6 Slow to learn new tricks or tasks,&,-2.09,&,0.17,&,1.28,&,0.38,&,-1.63,&,0.44,&,1.03E-01,&,6.61E-01,&,5.81E+01,\\\hline
7 Easily distracted by interesting sights sounds or smells,&,0.01,&,-0.78,&,0.85,&,0.42,&,0.01,&,-1.85,&,9.95E-01,&,6.44E-02,&,5.47E+01,\\\hline
8 Will fetch or attempt to fetch sticks balls or objects,&,-1.47,&,-0.06,&,0.81,&,0.29,&,-1.81,&,-0.19,&,7.08E-02,&,8.46E-01,&,5.40E+01,\\\hline
9 When verbally corrected or punished scolded shouted at etc by you or a household member,&,-1.55,&,0.35,&,-4.44,&,0.00,&,52.94,&,-1.55,&,3.48E-01,&,-4.44E+00,&,8.84E-06,\\\hline
10 When approached directly by an unfamiliar adult while being walked/exercised on a leash,&,-1.55,&,0.33,&,-4.68,&,0.00,&,58.35,&,-1.55,&,3.32E-01,&,-4.68E+00,&,2.86E-06,\\\hline
11 When approached directly by an unfamiliar child while being walked/exercised on a leash,&,-1.65,&,18.21,&,0.35,&,2399.54,&,-4.77,&,0.01,&,1.80E-06,&,9.94E-01,&,5.48E+01,\\\hline
12 Toward unfamiliar persons approaching the dog while she is in your car at the gas station for example,&,-1.63,&,1.09,&,0.35,&,0.88,&,-4.66,&,1.24,&,3.14E-06,&,2.15E-01,&,5.65E+01,\\\hline
13 When toys bones or other objects are taken away by a household member,&,-1.55,&,0.33,&,-4.68,&,0.00,&,58.35,&,-1.55,&,3.32E-01,&,-4.68E+00,&,2.86E-06,\\\hline
14 When bathed or groomed by a household member,&,-1.53,&,-15.03,&,0.33,&,2399.54,&,-4.61,&,-0.01,&,3.95E-06,&,9.95E-01,&,5.80E+01,\\\hline
15 When an unfamiliar person approaches you or another member of your family at home,&,-1.65,&,9.11,&,0.35,&,1199.77,&,-4.77,&,0.01,&,1.80E-06,&,9.94E-01,&,5.48E+01,\\\hline
